title,author,rating,summary,genres,cover_url,url
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,4.24,"The stunning third and final novel in Stieg Larsson's internationally best-selling trilogy.Lisbeth Salander - the heart of Larsson's two previous novels - lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She's fighting for her life in more ways than one: if and when she recovers, she'll be taken back to Stockholm to stand trial for three murders. With the help of her friend, journalist Mikael Blomkvist, she will not only have to prove her innocence, but also identify and denounce those in authority who have allowed the vulnerable, like herself, to suffer abuse and violence. And, on her own, she will plot revenge - against the man who tried to kill her, and the corrupt government institutions that very nearly destroyed her life.Once upon a time, she was a victim. Now Salander is fighting back.~from the jacket","['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327708260i/6892870.jpg,https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest
The Secret History,Donna Tartt,4.17,"Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal, and at lastinexorablyinto evil.","['Fiction', 'Mystery', 'Classics', 'Contemporary', 'Thriller', 'Literary Fiction', 'Mystery Thriller']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1451554846i/29044.jpg,https://www.goodreads.com/book/show/29044.The_Secret_History
The Thirteenth Tale,Diane Setterfield,3.98,"All children mythologize their birth...So begins the prologue of reclusive author Vida Winter's collection of stories, which are as famous for the mystery of the missing thirteenth tale as they are for the delight and enchantment of the twelve that do exist. The enigmatic Winter has spent six decades creating various outlandish life histories for herself -- all of them inventions that have brought her fame and fortune but have kept her violent and tragic past a secret. Now old and ailing, she at last wants to tell the truth about her extraordinary life. She summons biographer Margaret Lea, a young woman for whom the secret of her own birth, hidden by those who loved her most, remains an ever-present pain. Struck by a curious parallel between Miss Winter's story and her own, Margaret takes on the commission. As Vida disinters the life she meant to bury for good, Margaret is mesmerized. It is a tale of gothic strangeness featuring the Angelfield family, including the beautiful and willful Isabelle, the feral twins Adeline and Emmeline, a ghost, a governess, a topiary garden and a devastating fire. Margaret succumbs to the power of Vida's storytelling but remains suspicious of the author's sincerity. She demands the truth from Vida, and together they confront the ghosts that have haunted them while becoming, finally, transformed by the truth themselves. The Thirteenth Tale is a love letter to reading, a book for the feral reader in all of us, a return to that rich vein of storytelling that our parents loved and that we loved as children. Diane Setterfield will keep you guessing, make you wonder, move you to tears and laughter and, in the end, deposit you breathless yet satisfied back upon the shore of your everyday life.","['Fiction', 'Mystery', 'Historical Fiction', 'Gothic', 'Books About Books', 'Fantasy', 'Adult']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1346267826i/40440.jpg,https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale
In the Woods,Tana French,3.79,"As dusk approaches a small Dublin suburb in the summer of 1984, mothers begin to call their children home. But on this warm evening, three children do not return from the dark and silent woods. When the police arrive, they find only one of the children. He is gripping a tree trunk in terror, wearing blood-filled sneakers and unable to recall a single detail of the previous hours.Twenty years later, the found boy, Rob Ryan, is a detective on the Dublin Murder Squad and keeps his past a secret. But when a 12-year-old girl is found murdered in the same woods, he and Detective Cassie Maddox (his partner and closest friend) find themselves investigating a case chillingly similar to the previous unsolved mystery. Now, with only snippets of long-buried memories to guide him, Ryan has the chance to uncover both the mystery of the case before him and that of his own shadowy past.A gorgeously written novel that marks the debut of an astonishing new voice in psychological suspense.","['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Ireland', 'Audiobook']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562761513i/2459785.jpg,https://www.goodreads.com/book/show/2459785.In_the_Woods
Murder on the Orient Express,Agatha Christie,4.2,"Just after midnight, a snowdrift stops the famous Orient Express in its tracks as it travels through the mountainous Balkans. The luxurious train is surprisingly full for the time of the year but, by the morning, it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside.One of the passengers is none other than detective Hercule Poirot. On vacation. Isolated and with a killer on board, Poirot must identify the murdererin case he or she decides to strike again.","['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Audiobook', 'Thriller', 'Detective']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1733926500i/853510.jpg,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express
Midnight in the Garden of Good and Evil,John Berendt,3.92,"Shots rang out in Savannah's grandest mansion in the misty, early morning hours of May 2, 1981. Was it murder or self-defense? For nearly a decade, the shooting and its aftermath reverberated throughout this city of moss-hung oaks and shaded squares. John Berendt's narrative reads like a thoroughly engrossing novel, and yet it is a work of nonfiction. Berendt interweaves a first-person account of life in this isolated remnant of the Old South with the unpredictable twists and turns of a landmark murder case.The story is peopled by a gallery of remarkable characters: the well-bred society ladies of the Married Woman's Card Club; the turbulent young redneck gigolo; the hapless recluse who owns a bottle of poison so powerful it could kill every man, woman, and child in Savannah; the aging and profane Southern belle who is the ""soul of pampered self-absorption""; the uproarious black drag queen; the acerbic and arrogant antiques dealer; the sweet-talking, piano-playing con artist; young blacks dancing the minuet at the black debutante ball; and Minerva, the voodoo priestess who works her magic in the graveyard at midnight. These and other Savannahians act as a Greek chorus, with Berendt revealing the alliances, hostilities, and intrigues that thrive in a town where everyone knows everyone else.","['Nonfiction', 'True Crime', 'Mystery', 'Crime', 'History', 'Classics', 'Audiobook']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427166915i/386187.jpg,https://www.goodreads.com/book/show/386187.Midnight_in_the_Garden_of_Good_and_Evil
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,"Christopher John Francis Boone knows all the countries of the world and their capitals and every prime number up to 7,057. He relates well to animals but has no understanding of human emotions. He cannot stand to be touched. And he detests the color yellow. This improbable story of Christophers quest to investigate the suspicious death of a neighborhood dog makes for one of the most captivating, unusual, and widely heralded novels in recent years.","['Fiction', 'Mystery', 'Young Adult', 'Classics', 'Autistic Spectrum Disorder', 'Novels', 'Contemporary']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479863624i/1618.jpg,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
Dark Places,Gillian Flynn,3.95,"Libby Day was just seven years old when her evidence put her fifteen-year-old brother behind bars.Since then, she has been drifting. But when she is contacted by a group who are convinced of Ben's innocence, Libby starts to ask questions she never dared to before. Was the voice she heard her brother's? Ben was a misfit in their small town, but was he capable of murder? Are there secrets to uncover at the family farm or is Libby deluding herself because she wants her brother back?She begins to realise that everyone in her family had something to hide that day... especially Ben. Now, twenty-four years later, the truth is going to be even harder to find.Who did massacre the Day family?","['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Audiobook']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1354988288i/5886881.jpg,https://www.goodreads.com/book/show/5886881-dark-places
The Elephant Tree,R.D. Ronald,3.77,"Mark Fallon is an overworked detective investigating a spate of attacks at a string of high profile city centre nightclubs. Scott is a dejected 24 year old struggling to make ends meet working for his brother and supplementing his income with a small-scale drug dealing operation. Angela is an attractive 23 year old, raised by her father, a career criminal and small time drug dealer who supplies Scott with cannabis. This is a chilling tale spanning a few months in the lives of Scott and Angela, where realizations about the present combine with shocking revelations from the past leading to an apocalyptic climax where they no longer know whom they can trust.","['Thriller', 'Mystery', 'Fiction', 'Crime', 'Drama', 'Contemporary', 'Novels']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327248026i/9293020.jpg,https://www.goodreads.com/book/show/9293020-the-elephant-tree
The Historian,Elizabeth Kostova,3.8,"To you, perceptive reader, I bequeath my history....Late one night, exploring her father's library, a young woman finds an ancient book and a cache of yellowing letters. The letters are all addressed to ""My dear and unfortunate successor,"" and they plunge her into a world she never dreamed of, a labyrinth where the secrets of her father's past and her mother's mysterious fate connect to an inconceivable evil hidden in the depths of history.The letters provide links to one of the darkest powers that humanity has ever known and to a centuries-long quest to find the source of that darkness and wipe it out. It is a quest for the truth about Vlad the Impaler, the medieval ruler whose barbarous reign formed the basis of the legend of Dracula. Generations of historians have risked their reputations, their sanity, and even their lives to learn the truth about Vlad the Impaler and Dracula. Now one young woman must decide whether to take up this quest herself--to follow her father in a hunt that nearly brought him to ruin years ago, when he was a vibrant young scholar and her mother was still alive. What does the legend of Vlad the Impaler have to do with the modern world? Is it possible that the Dracula of myth truly existed and that he has lived on, century after century, pursuing his own unknowable ends? The answers to these questions cross time and borders, as first the father and then the daughter search for clues, from dusty Ivy League libraries to Istanbul, Budapest, and the depths of Eastern Europe. In city after city, in monasteries and archives, in letters and in secret conversations, the horrible truth emerges about Vlad the Impaler's dark reign and about a time-defying pact that may have kept his awful work alive down through the ages.","['Fiction', 'Historical Fiction', 'Fantasy', 'Horror', 'Vampires', 'Mystery', 'Historical']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1717145561i/30236962.jpg,https://www.goodreads.com/book/show/30236962-the-historian
Smilla's Sense of Snow,Peter Heg,3.74,"She thinks more highly of snow and ice than she does of love. She lives in a world of numbers, science and memories--a dark, exotic stranger in a strange land. And now Smilla Jaspersen is convinced she has uncovered a shattering crime...It happened in the Copenhagen snow. A six-year-old boy, a Greenlander like Smilla, fell to his death from the top of his apartment building. While the boy's body is still warm, the police pronounce his death an accident. But Smilla knows her young neighbor didn't fall from the roof on his own. Soon she is following a path of clues as clear to her as footsteps in the snow. For her dead neighbor, and for herself, she must embark on a harrowing journey of lies, revelation and violence that will take her back to the world of ice and snow from which she comes, where an explosive secret waits beneath the ice....","['Fiction', 'Mystery', 'Crime', 'Thriller', 'Denmark', 'Scandinavian Literature', 'Mystery Thriller']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1485595488i/124509.jpg,https://www.goodreads.com/book/show/124509.Smilla_s_Sense_of_Snow
The Murder of Roger Ackroyd,Agatha Christie,4.27,"Considered to be one of Agatha Christie's greatest, and also most controversial mysteries, 'The Murder Of Roger Ackroyd' breaks the rules of traditional mystery. The peaceful English village of Kings Abbot is stunned. The widow Ferrars dies from an overdose of Veronal. Not twenty-four hours later, Roger Ackroydthe man she had planned to marryis murdered. It is a baffling case involving blackmail and death that taxes Hercule Poirots little grey cells before he reaches one of the most startling conclusions of his career.Librarian's note: the first fifteen novels in the Hercule Poirot series are 1) The Mysterious Affair at Styles, 1920; 2) The Murder on the Links, 1923; 3) The Murder of Roger Ackroyd, 1926; 4) The Big Four, 1927; 5) The Mystery of the Blue Train, 1928; 6) Peril at End House, 1932; 7) Lord Edgware Dies, 1933; 8) Murder on the Orient Express, 1934; 9) Three Act Tragedy, 1935; 10) Death in the Clouds, 1935; 11) The A.B.C. Murders, 1936; 12) Murder in Mesopotamia, 1936; 13) Cards on the Table, 1936; 14) Dumb Witness, 1937; and 15) Death on the Nile, 1937. These are just the novels; Poirot also appears in this period in a play, Black Coffee, 1930, and two collections of short stories, Poirot Investigates, 1924, and Murder in the Mews, 1937. Each novel, play and short story has its own entry on Goodreads.","['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Audiobook', 'Thriller', 'Classics']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389734015i/16328.jpg,https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd
None of This Is True,Lisa Jewell,4.11,"Lisa Jewell returns with a scintillating new psychological thriller about a woman who finds herself the subject of her own popular true crime podcast.Celebrating her forty-fifth birthday at her local pub, popular podcaster Alix Summers crosses paths with an unassuming woman called Josie Fair. Josie, it turns out, is also celebrating her forty-fifth birthday. They are, in fact, birthday twins.A few days later, Alix and Josie bump into each other again, this time outside Alixs childrens school. Josie has been listening to Alixs podcasts and thinks she might be an interesting subject for her series. She is, she tells Alix, on the cusp of great changes in her life.Josies life appears to be strange and complicated, and although Alix finds her unsettling, she cant quite resist the temptation to keep making the podcast. Slowly she starts to realise that Josie has been hiding some very dark secrets, and before she knows it, Josie has inveigled her way into Alixs lifeand into her home.But, as quickly as she arrived, Josie disappears. Only then does Alix discover that Josie has left a terrible and terrifying legacy in her wake, and that Alix has become the subject of her own true crime podcast, with her life and her familys lives under mortal threat.Who is Josie Fair? And what has she done?","['Thriller', 'Mystery', 'Audiobook', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1686092508i/62334530.jpg,https://www.goodreads.com/book/show/62334530-none-of-this-is-true
Murder on Family Grounds,Susan  Rowland,4.3,"Who is killing off members of the Falconer family and why? Such is the challenge confronting highly skilled, extraordinarily intuitive Mary Wandwalker when she finds herself single, sixty and jobless. Long ago as an Oxford student with an unplanned pregnancy, Mary knew the Falconers as the family who refused to help when her fianc, David Falconer died in a car crash. Now the baby boy she gave up for adoption is a policeman, George Jones, and he wants to meet her. Can Mary bring herself to confront her past? She must, for lost in her memory is a clue that could save her sons life. Back in 1979, Mary wrote to the Falconers and was rejected. Now forty years later, key phrases from her letter appear in the faked suicide note of Perdita Falconer. Neither Perdita nor her killer had access to Marys document. Too exact for coincidence, the link is the pseudonym of the drug dealer who supplied her fatal dose. He or she is known as the Kestrel. When Mary was romanced by David Falconer in the 1970s, the Kestrel was codename for a Russian spy entertained at Falconer House. Could the resurrection of the nom de plume be connected to Viktor Solokov, the Russian oligarch renting the Falconer estate with his beautiful wife, Anna? For the Falconers have dark secrets, some centuries old. When George Joness wife Caroline begs Mary to save her husband from treacherous Anna, and the murderous talons of the Kestrel, Mary must act.","['Mystery', 'Mystery Thriller', 'Drama', 'Novels', 'Thriller', 'Crime', 'Suspense']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1705391004i/205338104.jpg,https://www.goodreads.com/book/show/205338104-murder-on-family-grounds
Snow Falling on Cedars,David Guterson,3.86,"Gripping, tragic, and densely atmospherica masterpiece of suspense San Piedro Island, north of Puget Sound, is a place so isolated that no one who lives there can afford to make enemies. But in 1954 a local fisherman is found suspiciously drowned, and a Japanese American named Kabuo Miyamoto is charged with his murder. In the course of the ensuing trial, it becomes clear that what is at stake is more than a man's guilt. For on San Pedro, memories of a charmed love affair between a white boy and the Japanese girl who grew up to become Kabuo's wife; memories of land desired, paid for, and lost. Above all, San Piedro is haunted by the memory of what happened to its Japanese residents during World War II, when an entire community was sent into exile while its neighbors watched.","['Fiction', 'Historical Fiction', 'Mystery', 'Historical', 'Literary Fiction', 'Classics', 'Literature']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479863528i/77142.jpg,https://www.goodreads.com/book/show/77142.Snow_Falling_on_Cedars
The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.3,"The Adventures of Sherlock Holmes is the series of short stories that made the fortunes of the Strand magazine, in which they were first published, and won immense popularity for Sherlock Holmes and Dr Watson. The detective is at the height of his powers and the volume is full of famous cases, including 'The Red-Headed League', 'The Blue Carbuncle', and 'The Speckled Band'. The editor of this volume, Richard Lancelyn Green is editor of The Uncollected Sherlock Holmes and The Further Adventures of Sherlock Holmes. With John Michael Gibson, he compiled the Soho Series Bibliography of A. Conan Doyle.1. A Scandal In Bohemia2. The Red-Headed League3. A Case Of Identity4. The Boscombe Valley Mystery 5. The Five Orange Pips6. The Man With The Twisted Lip7. The Adventure Of The Blue Carbuncle 8. The Adventure Of The Speckled Band 9. The Adventure Of The Engineer's Thumb10. The Adventure Of The Noble Bachelor 11. The Adventure Of The Beryl Coronet 12. The Adventure Of The Copper Beaches","['Mystery', 'Fiction', 'Short Stories', 'Crime', 'Classics', 'Audiobook', 'Mystery Thriller']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1164045516i/3590.jpg,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
Case Histories,Kate Atkinson,3.8,"In #1 of series, Jackson Brodie PI follows three 30-years cold, unconnected Cambridge family cases:  1 A little girl disappears in the night.  2 A beautiful young office worker falls to a maniac's attack. 3 A new mother is overwhelmed by demands from her baby and husband - until a fit of rage creates a grisly, bloody escape.Result : Startling connections and discoveries emerge. . . .","['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Audiobook', 'British Literature']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1558363159i/16243.jpg,https://www.goodreads.com/book/show/16243.Case_Histories
The Woman in White,Wilkie Collins,4.01,"Librarian note: Alternate covers can be found here and here.'In one moment, every drop of blood in my body was brought to a stop... There, as if it had that moment sprung out of the earth, stood the figure of a solitary Woman, dressed from head to foot in white'The Woman in White famously opens with Walter Hartright's eerie encounter on a moonlit London road. Engaged as a drawing master to the beautiful Laura Fairlie, Walter becomes embroiled in the sinister intrigues of Sir Percival Glyde and his 'charming' friend Count Fosco, who has a taste for white mice, vanilla bonbons, and poison. Pursuing questions of identity and insanity along the paths and corridors of English country houses and the madhouse, The Woman in White is the first and most influential of the Victorian genre that combined Gothic horror with psychological realism.Matthew Sweet's introduction explores the phenomenon of Victorian 'sensation' fiction, and discusses Wilkie Collins's biographical and societal influences. Included in this edition are appendices on theatrical adaptations of the novel and its serialisation history.","['Classics', 'Mystery', 'Gothic', 'Horror', '19th Century', 'Victorian', 'Historical Fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1295661017i/5890.jpg,https://www.goodreads.com/book/show/5890.The_Woman_in_White
Twenty Years Later,Charlie Donlea,4.21,"Hiding her own dark past in plain sight, a TV reporter is determined to uncover the truth behind a gruesome murder decades after the investigation was abandoned. But TWENTY YEARS LATER, to understand the present, you need to listen to the past Avery Mason, host of American Events, knows the subjects that grab a TV audiences attention. Her latest storya murder mystery laced with kinky sex, tragedy, and betrayalis guaranteed to be ratings gold. New DNA technology has allowed the New York medical examiners office to make its first successful identification of a 9/11 victim in years. The twist: the victim, Victoria Ford, had been accused of the gruesome murder of her married lover. In a chilling last phone call to her sister, Victoria begged her to prove her innocence. Emma Kind has waited twenty years to put her sister to rest, but closure wont be complete until she can clear Victorias name. Alone shes had no luck, but shes convinced that Averys connections and fame will help. Avery, hoping to negotiate a more lucrative network contract, goes into investigative overdrive. Victoria had been having an affair with a successful novelist, found hanging from the balcony of his Catskills mansion. The rope, the bedroom, and the entire crime scene was covered in Victorias DNA. But the twisted puzzle of Victorias private life is just the beginning. And what Avery doesn't realize is that there are other players in the game who are interested in Averys own secret pastone she has kept hidden from both the network executives and her television audience. A secret she thought was dead and buried . . .  Accused of a brutal murder, Victoria Ford made a final chilling call from the North Tower on the morning of 9/11. Twenty years ago, no one listened. Today, you will.","['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Suspense', 'Crime', 'Audiobook']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1632079606i/57645345.jpg,https://www.goodreads.com/book/show/57645345-twenty-years-later
